address,NOM,TELEPHONE,RAISON_SOCIALE,SIREN,REGION,CODE POSTALE,SIRET,CIVILITE,PRENOM,APE,LIBELE_NAF,PAYS,CODE_NAF,email
,,+33 1 46 77 32 18,SOCIETE DUPONT,732829320,,,44316952400120,,,6201Z,0111Z,,0111Z,DUPONT@GMAIL.COM
,,+33 2 85 78 45 21,S’OCIETE,,,,44316952400120,,,6201Z,0111Z,,0111Z,OYETE@GMAIL.COM
,,+33 5 85 78 54 78,IMAGIN&TIFF_,,,,,,,6201Z,0111Z,,0111Z,IMAGINOS31@GMAIL.COM
,,+33 7 12 58 74 69,IMAGIN//,,,,,,,,,,,IMAGIN31@GMAIL.COM
,,+33 7 85 78 45 21,,732829320,,,,,,,,,,ABEILLE@GMAIL.COM
,,,A,,,,,,,,,,,
,DUPONT,+33 6 85 23 69 74,JEANDUPONT,,,,44240304900234,MONSIEUR,Jean,,,,,
,PETIT JEAN,+33 6 58 96 32 47,STRAßE,,,,,MADAME,Anne-Marie,,,,0454B,
,DEVID,+33 6 58 96 32 47,漢字,732829396,,,,MADAME,Anne Marie,6205Z,0596G,,0596G,
,UIU,,,,,,,MONSIEUR,Elie,,,,,
,K’HIM,,,,,,,MONSIEUR,Amélie,,,,,
,A,,,,,,,MONSIEUR,Benoît,,,,,BENTO@GMAIL.COM
,CARRE ET LAGRAVE,,,,,,,MONSIEUR,Uïû,,,,,
,SEBASTIEN ET PASCAL,,,,,,,,A,,,,,
,SEBASTIEN ET PASCAL,,,,,,,MONSIEUR,Pascal,,,,,
,SEBASTIEN ET PASCAL ,,,,,,,MONSIEUR,Sébastien,,,,,
,CARRE ET LAGRAVE,,,,,,,MONSIEUR,Louca,,,,,
,CARRE,,,,,,,MONSIEUR,Alexandre,,,,,
,BRØGGER,,,,,,,,Sven,,,,,
,,+33 1 46 77 32 18,HECTOR,,,,44356652400120,,,,0111Z,,,HECTOR@GMAIL.COM
,,+33 2 85 78 45 21,VILLIERS,849504839,,,44766952400120,,,,0111Z,,0111B,VILLIERS@GMAIL.COM
,,+33 5 85 78 54 78,EDOUARDSERVICES,,,,,,,,0111Z,,0121Z,EDOUARD@GMAIL.COM
,,+33 7 12 58 74 69,ED'GAR,844993999,,,49016952400120,,,,,,,EDGAR31@GMAIL.COM
,,+33 7 85 78 45 21,B,732829320,,,,,,,,,,
,,,VECCHIA/,,,,,,,,,,,
,DUPONT,+33 6 85 23 69 74,VE&CCIO,,,,43200940304567,MONSIEUR,Jean,5840G,,,,
,PETIT JEAN,+33 6 58 65 32 47,BRØGGER,,,,,MADAME,Anne-Marie,,,,0454B,
,DEVID,+33 6 58 96 32 47,MICHEL_DRUK,732829396,,,,MADAME,Anne Marie,,,,,
,UIU,,,,,,,MONSIEUR,Elie,,,,,
,K’HIM,,,,,,,MONSIEUR,O,,,,,
,BEN,,,,,,,MONSIEUR,To,,,,,BENTO@GMAIL.COM
,BURG ET ER,,,,,,,MONSIEUR,H-An,,,,,
,EMELINE ET MARIE SOPHIE,,,,,,,MADAME,A,,,,,
,EDGARD,,,,,,,MONSIEUR,Pascalou,,,,,
,GENOIT,,,,,,,MONSIEUR,Sébastien,,,,,
,PE TIT,,,,,,,MONSIEUR,Louca,,,,,
,CARRE,,,,,,,MONSIEUR,Alexandre,,,,,
,LAG ET RAV,,,,,,,,Sven,,,,,
,,+33 1 46 77 32 18,BOUCHERIE LEVIS,732829320,,,44316952400120,,,6201Z,9584Z,,0111Z,DUPONT@GMAIL.COM
,,+33 2 85 78 45 21,TIGERMILK,,,,44316952400120,,,6201Z,0222Z,,0111Z,OYETE@GMAIL.COM
,,+33 5 85 78 54 78,"""VANESCENCE",,,,,,,6201Z,0111Z,,0111Z,IMAGINOS31@GMAIL.COM
,,+33 7 12 58 74 69,"ED""BANGER",,,,,,,,,,,IMAGIN31@GMAIL.COM
,,+33 7 85 78 45 21,B,732829320,,,,,,,,,,ABEILLE@GMAIL.COM
,,,//MONEYY//,,,,,,,,,,,
,DUPONT,+33 6 85 23 69 74,PAUL&JO,,,,44240304900234,MONSIEUR,Jean,,,,,
,PETIT JEAN,+33 6 58 96 32 47,HECØTOR,,,,,MADAME,Marie-Sophie,,,,0454B,PETITJEAN.@GMAIL.COM
,A,+33 6 58 96 32 47,ANNAGIRARDOT,732829396,,,,MADAME,Anne,6205Z,,,,
,MERE,,,,,,,MONSIEUR,Hélène,,,,,
,CARRE,,,,,,,MADAME,Amélie,,,,,
,GENUT,,,,,,,MONSIEUR,Benoît,,,,,BENOIT@GMAIL.COM
,PETIT JEAN,,,,,,,MONSIEUR,Uïû,,,,,
,CARLE,,,,,,,,A,,,,,
,CARLES,+33 6 46 73 84 93,,,,,,MONSIEUR,Pépère,,,,,
,PETITANGE,+33 1 74 93 30 48,,,,,,,Maëva,,,,,
,GRAMAT ET DAGANT,+33 9 58 60 17 29,,,,,,MONSIEUR MADAME,Paul,,,,,
,MBAPPE,,,,,,,MONSIEUR MADAME,Didier Adeline,,,,,
,N'GOLO,,,,,,,,Kyky,,,,,
