RAISON_SOCIALE;SIRET;SIREN;APE;CODE_NAF;LIBELE_NAF;CIVILITE;NOM;PRENOM;TELEPHONE;email;address;CODE POSTALE;REGION;PAYS
Société dupont;443 169 524 00120;732829320;6201z;0111z;0111z;;;;146773218;dupont@gmail.com;;;;
S’ociété;443.169.524.00120;732829320111;62.01z;01.11z;01.11z;;;;02 85 78 45 21;oyete @gmail.com;;;;
Imagin&tiff_;443 169 524 GH780;73289;62,01z;01,11z;01,11z;;;;585785478;imaginôs31@gmail.com;;;;
imagin//;4ZT 169 524 00120;ABCDE7328F29320;62011z;01011z;01011z;;;;712587469;imagin''31@gmail.com;;;;
;4b169524R00120;732-8293-20;62011;1111;1111;;;;07 85 78 45 21b;abeille@gmail.com;;;;
A;443-73-421-00395;732 8293 2;620z;011z;011z;;;;33068523697454;@gmail.com;;;;
JEANDUPONT;44240304900234;95048;7593;01C;;MONSIEUR;Dupont;jean;330685236974;jeandupgmail.com;;;;
Straße;4950391;950483272911;94Z;04-54B;0;MME;Petit Jean;anne-marie;06.58.96.32.47;strasse@g.com;;;;
漢字;10849;732829396;6205Z;0596G;0596G;MADAME;Dévid;anne marie;06-58-96a32’47;Lucas31@siapartnersrue(XXXX....XXXX).com;;;;
;;;;;;MR;Üïû;élie;;éli@;;;;
;;;;;;M;K’him;amélie;;amel@gmail.c-om;;;;
;;;;;;M;A;Benoît;;bento@.gmail.com;;;;
;;;;;;MR. ;&Carre & Lagrave&;Üïû;;lagrave@gmail.;;;;
;;;;;;;/Sébastien / Pascal/;A;;pascalou@gmail..com;;;;
;;;;;;MONSIEUR;Sébastien _ Pascal;Pascal;;pescadore@gmail.c-om;;;;
;;;;;;MR;Sébastien // Pascal //;Sébastien;;lucas31@gmail.f;;;;
;;;;;;MR.;Carre et Lagrave;LOUCA;;lucas31@gmail.commmee;;;;
;;;;;;MM;Carre_/;Alexandre;;;;;;
;;;;;;Docteur;Brøgger;Sven;;;;;;
HECTOR;44356652400120;948503°2;4705BB;d0111;0111z;;;;146773218;hector@gmail.com;;;;
villiers;44.7669-524..00120;849504839-;83.04;0.111B;01.11z;;;;02 85 78 45 21;villiers@gmail.com;;;;
édouardservices;443 169 524 GH780;103948TIFF;62-08;"012;1z";01,11z;;;;585785478;édouard@gmail.com;;;;
ed'GAR;490 169 524 00G120;84-499-3999;Z4058;010116èz;01011z;;;;712587469;ed'gar31@gmail.com;;;;
B;504859489O9585;732-8293-20;58B(;8648;8648;;;;07 85 78 45 21b;b@Gmail..com;;;;
VECCHIA/;443/73/421/00395;732 8293 6;8ZZ;01s1;011z;;;;33068523697454;@gmail.com;;;;
Ve&ccio;43200940304567;95048è;5840G;01C;01C;MONSIEUR;Dupont;jean;330685236974;veccioatgmail.com;;;;
Brøgger;5968;950483272911(espace);9Z8;04-54B;0;MME;Petit Jean;anne-marie;06.58.65.32.47;brogger@g.com;;;;
michel_druk;58402é!;732 829-396;O94L;;;MADAME;Dévid;anne marie;06-58-96a32’47;michel@siapartnersrue(XXXX....XXXX).com;;;;
;;;;;;MR;Üïû;élie;;éli@;;;;
;;;;;;M;K’him;O;;amel@gmail.c-om;;;;
;;;;;;M;Ben;To;;bento@.gmail.com;;;;
