CODE POSTALE,SIRET,TELEPHONE,PAYS,CIVILITE,email,SIREN,RAISON_SOCIALE,LIBELE_NAF,NOM,address,CODE_NAF,PRENOM,APE,REGION
,44316952400120,+33 1 46 77 32 18,,,DUPONT@GMAIL.COM,732829320,SOCIETE DUPONT,0111Z,,,0111Z,,6201Z,
,44316952400120,+33 2 85 78 45 21,,,OYETE@GMAIL.COM,,S’OCIETE,0111Z,,,0111Z,,6201Z,
,,+33 5 85 78 54 78,,,IMAGINOS31@GMAIL.COM,,IMAGIN&TIFF_,0111Z,,,0111Z,,6201Z,
,,+33 7 12 58 74 69,,,IMAGIN31@GMAIL.COM,,IMAGIN//,,,,,,,
,,+33 7 85 78 45 21,,,ABEILLE@GMAIL.COM,732829320,,,,,,,,
,,,,,,,A,,,,,,,
,44240304900234,+33 6 85 23 69 74,,MONSIEUR,,,JEANDUPONT,,DUPONT,,,Jean,,
,,+33 6 58 96 32 47,,MADAME,,,STRAßE,,PETIT JEAN,,0454B,Anne-Marie,,
,,+33 6 58 96 32 47,,MADAME,,732829396,漢字,0596G,DEVID,,0596G,Anne Marie,6205Z,
,,,,MONSIEUR,,,,,UIU,,,Elie,,
,,,,MONSIEUR,,,,,K’HIM,,,Amélie,,
,,,,MONSIEUR,BENTO@GMAIL.COM,,,,A,,,Benoît,,
,,,,MONSIEUR,,,,,CARRE ET LAGRAVE,,,Uïû,,
,,,,,,,,,SEBASTIEN ET PASCAL,,,A,,
,,,,MONSIEUR,,,,,SEBASTIEN ET PASCAL,,,Pascal,,
,,,,MONSIEUR,,,,,SEBASTIEN ET PASCAL ,,,Sébastien,,
,,,,MONSIEUR,,,,,CARRE ET LAGRAVE,,,Louca,,
,,,,MONSIEUR,,,,,CARRE,,,Alexandre,,
,,,,,,,,,BRØGGER,,,Sven,,
,44356652400120,+33 1 46 77 32 18,,,HECTOR@GMAIL.COM,,HECTOR,0111Z,,,,,,
,44766952400120,+33 2 85 78 45 21,,,VILLIERS@GMAIL.COM,849504839,VILLIERS,0111Z,,,0111B,,,
,,+33 5 85 78 54 78,,,EDOUARD@GMAIL.COM,,EDOUARDSERVICES,0111Z,,,0121Z,,,
,49016952400120,+33 7 12 58 74 69,,,EDGAR31@GMAIL.COM,844993999,ED'GAR,,,,,,,
,,+33 7 85 78 45 21,,,,732829320,B,,,,,,,
,,,,,,,VECCHIA/,,,,,,,
,43200940304567,+33 6 85 23 69 74,,MONSIEUR,,,VE&CCIO,,DUPONT,,,Jean,5840G,
,,+33 6 58 65 32 47,,MADAME,,,BRØGGER,,PETIT JEAN,,0454B,Anne-Marie,,
,,+33 6 58 96 32 47,,MADAME,,732829396,MICHEL_DRUK,,DEVID,,,Anne Marie,,
,,,,MONSIEUR,,,,,UIU,,,Elie,,
,,,,MONSIEUR,,,,,K’HIM,,,O,,
,,,,MONSIEUR,BENTO@GMAIL.COM,,,,BEN,,,To,,
,,,,MONSIEUR,,,,,BURG ET ER,,,H-An,,
,,,,MADAME,,,,,EMELINE ET MARIE SOPHIE,,,A,,
,,,,MONSIEUR,,,,,EDGARD,,,Pascalou,,
,,,,MONSIEUR,,,,,GENOIT,,,Sébastien,,
,,,,MONSIEUR,,,,,PE TIT,,,Louca,,
,,,,MONSIEUR,,,,,CARRE,,,Alexandre,,
,,,,,,,,,LAG ET RAV,,,Sven,,
,44316952400120,+33 1 46 77 32 18,,,DUPONT@GMAIL.COM,732829320,BOUCHERIE LEVIS,9584Z,,,0111Z,,6201Z,
,44316952400120,+33 2 85 78 45 21,,,OYETE@GMAIL.COM,,TIGERMILK,0222Z,,,0111Z,,6201Z,
,,+33 5 85 78 54 78,,,IMAGINOS31@GMAIL.COM,,"""VANESCENCE",0111Z,,,0111Z,,6201Z,
,,+33 7 12 58 74 69,,,IMAGIN31@GMAIL.COM,,"ED""BANGER",,,,,,,
,,+33 7 85 78 45 21,,,ABEILLE@GMAIL.COM,732829320,B,,,,,,,
,,,,,,,//MONEYY//,,,,,,,
,44240304900234,+33 6 85 23 69 74,,MONSIEUR,,,PAUL&JO,,DUPONT,,,Jean,,
,,+33 6 58 96 32 47,,MADAME,PETITJEAN.@GMAIL.COM,,HECØTOR,,PETIT JEAN,,0454B,Marie-Sophie,,
,,+33 6 58 96 32 47,,MADAME,,732829396,ANNAGIRARDOT,,A,,,Anne,6205Z,
,,,,MONSIEUR,,,,,MERE,,,Hélène,,
,,,,MADAME,,,,,CARRE,,,Amélie,,
,,,,MONSIEUR,BENOIT@GMAIL.COM,,,,GENUT,,,Benoît,,
,,,,MONSIEUR,,,,,PETIT JEAN,,,Uïû,,
,,,,,,,,,CARLE,,,A,,
,,+33 6 46 73 84 93,,MONSIEUR,,,,,CARLES,,,Pépère,,
,,+33 1 74 93 30 48,,,,,,,PETITANGE,,,Maëva,,
,,+33 9 58 60 17 29,,MONSIEUR MADAME,,,,,GRAMAT ET DAGANT,,,Paul,,
,,,,MONSIEUR MADAME,,,,,MBAPPE,,,Didier Adeline,,
,,,,,,,,,N'GOLO,,,Kyky,,
