SIRET,CODE_NAF,PRENOM,email,CODE POSTALE,PAYS,CIVILITE,APE,TELEPHONE,RAISON_SOCIALE,REGION,LIBELE_NAF,address,NOM,SIREN
443 169 524 00120,0111Z,,DUPONT@GMAIL.COM,,,,6201Z,+33 1 46 77 32 18,SOCIETE DUPONT,,0111z,,,732829320
443.169.524.00120,0111Z,,OYETE@GMAIL.COM,,,,6201Z,+33 2 85 78 45 21,S’OCIETE,,01.11z,,,732829320111
443 169 524 GH780,0111Z,,IMAGINOS31@GMAIL.COM,,,,6201Z,+33 5 85 78 54 78,IMAGIN&TIFF_,,"01,11z",,,73289
4ZT 169 524 00120,,,IMAGIN31@GMAIL.COM,,,,,+33 7 12 58 74 69,IMAGIN//,,01011z,,,ABCDE7328F29320
4b169524R00120,,,ABEILLE@GMAIL.COM,,,,,+33 7 85 78 45 21,,,1111,,,732-8293-20
443-73-421-00395,,,,,,,,,A,,011z,,,732 8293 2
44240304900234,,Jean,,,,MONSIEUR,,+33 6 85 23 69 74,JEANDUPONT,,,,DUPONT,95048
4950391,0454B,Anne-Marie,,,,MADAME,,+33 6 58 96 32 47,STRAßE,,0,,PETIT JEAN,950483272911
10849,0596G,Anne Marie,,,,MADAME,6205Z,+33 6 58 96 32 47,漢字,,0596G,,DEVID,732829396
,,Elie,,,,MONSIEUR,,,,,,,UIU,
,,Amélie,,,,MONSIEUR,,,,,,,K’HIM,
,,Benoît,BENTO@GMAIL.COM,,,MONSIEUR,,,,,,,A,
,,Uïû,,,,MONSIEUR,,,,,,,CARRE ET LAGRAVE,
,,A,,,,,,,,,,,SEBASTIEN ET PASCAL,
,,Pascal,,,,MONSIEUR,,,,,,,SEBASTIEN ET PASCAL,
,,Sébastien,,,,MONSIEUR,,,,,,,SEBASTIEN ET PASCAL ,
,,Louca,,,,MONSIEUR,,,,,,,CARRE ET LAGRAVE,
,,Alexandre,,,,MONSIEUR,,,,,,,CARRE,
,,Sven,,,,,,,,,,,BRØGGER,
44356652400120,,,HECTOR@GMAIL.COM,,,,,+33 1 46 77 32 18,HECTOR,,0111z,,,948503°2
44.7669-524..00120,0111B,,VILLIERS@GMAIL.COM,,,,,+33 2 85 78 45 21,VILLIERS,,01.11z,,,849504839-
443 169 524 GH780,0121Z,,EDOUARD@GMAIL.COM,,,,,+33 5 85 78 54 78,EDOUARDSERVICES,,"01,11z",,,103948TIFF
490 169 524 00G120,,,EDGAR31@GMAIL.COM,,,,,+33 7 12 58 74 69,ED'GAR,,01011z,,,84-499-3999
504859489O9585,,,,,,,,+33 7 85 78 45 21,B,,8648,,,732-8293-20
443/73/421/00395,,,,,,,,,VECCHIA/,,011z,,,732 8293 6
43200940304567,,Jean,,,,MONSIEUR,5840G,+33 6 85 23 69 74,VE&CCIO,,01C,,DUPONT,95048è
5968,0454B,Anne-Marie,,,,MADAME,,+33 6 58 65 32 47,BRØGGER,,0,,PETIT JEAN,950483272911(espace)
58402é!,,Anne Marie,,,,MADAME,,+33 6 58 96 32 47,MICHEL_DRUK,,,,DEVID,732 829-396
,,Elie,,,,MONSIEUR,,,,,,,UIU,
,,O,,,,MONSIEUR,,,,,,,K’HIM,
,,To,BENTO@GMAIL.COM,,,MONSIEUR,,,,,,,BEN,
,,H-An,,,,MONSIEUR,,,,,,,BURG ET ER,
,,A,,,,MADAME,,,,,,,EMELINE ET MARIE SOPHIE,
,,Pascalou,,,,MONSIEUR,,,,,,,EDGARD,
,,Sébastien,,,,MONSIEUR,,,,,,,GENOIT,
,,Louca,,,,MONSIEUR,,,,,,,PE TIT,
,,Alexandre,,,,MONSIEUR,,,,,,,CARRE,
,,Sven,,,,,,,,,,,LAG ET RAV,
443 169 524 00120,0111Z,,DUPONT@GMAIL.COM,,,,6201Z,+33 1 46 77 32 18,BOUCHERIE LEVIS,,9584z,,,732829320
443.169.524.00120,0111Z,,OYETE@GMAIL.COM,,,,6201Z,+33 2 85 78 45 21,TIGERMILK,,0222.z,,,732829320111
8594 859 740 GH780,0111Z,,IMAGINOS31@GMAIL.COM,,,,6201Z,+33 5 85 78 54 78,"""VANESCENCE",,"01,11z",,,73289
4ZT 169 524 00120,,,IMAGIN31@GMAIL.COM,,,,,+33 7 12 58 74 69,"ED""BANGER",,01011z,,,ABCDE7328F29320
4b169524R00120,,,ABEILLE@GMAIL.COM,,,,,+33 7 85 78 45 21,B,,1111,,,732-8293-20
443-73-421-00395,,,,,,,,,//MONEYY//,,011z,,,732 8293 2
44240304900234,,Jean,,,,MONSIEUR,,+33 6 85 23 69 74,PAUL&JO,,,,DUPONT,95048
4950391,0454B,Marie-Sophie,PETITJEAN.@GMAIL.COM,,,MADAME,,+33 6 58 96 32 47,HECØTOR,,0,,PETIT JEAN,950483272911
10849,,Anne,,,,MADAME,6205Z,+33 6 58 96 32 47,ANNAGIRARDOT,,,,A,732829396
,,Hélène,,,,MONSIEUR,,,,,,,MERE,
,,Amélie,,,,MADAME,,,,,,,CARRE,
,,Benoît,BENOIT@GMAIL.COM,,,MONSIEUR,,,,,,,GENUT,
,,Uïû,,,,MONSIEUR,,,,,,,PETIT JEAN,
,,A,,,,,,,,,,,CARLE,
,,Pépère,,,,MONSIEUR,,+33 6 46 73 84 93,,,,,CARLES,
,,Maëva,,,,,,+33 1 74 93 30 48,,,,,PETITANGE,
,,Paul,,,,MONSIEUR MADAME,,+33 9 58 60 17 29,,,,,GRAMAT ET DAGANT,
,,Didier Adeline,,,,MONSIEUR MADAME,,,,,,,MBAPPE,
,,Kyky,,,,,,,,,,,N'GOLO,
